Sector,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204,205,206
1,9996.744000,6149.360000,0.000000,0.000000,0.000000,307.642000,0.000000,13.642000,28.607000,22.346000,42.166000,0.000000,0.000000,0.000000,2143.369000,5906.726000,27198.006000,2832.852000,5648.686000,200.199000,0.494000,0.000000,1620.941000,12192.550000,2714.519000,1509.975000,1415.019000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7533.160000,0.000000,0.000000,223.057000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,805.439000,665.394000,222.799000,834.306000,162.381000,449.742000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.081000,0.000000,0.000000,0.000000,0.507000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.998000,0.577000,0.000000,0.000000,4.500000,0.000000,0.000000,0.000000,0.000000,2.026000,13.103000,27.110000,0.000000,1.014000,12.505000,56.908000,94.446000,0.000000,4.832000,0.656000,0.000000,0.000000,1.003000,0.000000,0.000000,961.502000,0.786000,0.000000,14.501000,34.003000,0.468000,0.507000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.247000,0.247000,0.504000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,12.729000,20.374000,25.215000,8.175000,161.891000,0.544000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,33.794000,0.000000,4.308000,0.000000,0.000000,0.245000,0.260000,0.000000,0.000000,0.000000,0.000000,0.000000,0.951000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2433.693000,0.078000,0.000000,0.000000,0.000000,0.000000,75777.495000
2,408.125000,22571.810000,27.529000,0.000000,0.000000,407.599000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,90.636000,233.017000,36272.480000,84497.529000,849.520000,725.754000,1867.888000,0.000000,0.000000,249.597000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9.680000,733.110000,0.000000,172.710000,56.119000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.860000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,257.689000,0.000000,0.000000,21.577000,0.000000,0.000000,0.000000,0.000000,0.000000,3.712000,0.000000,0.000000,0.000000,4.611000,42.990000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.261000,0.261000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,30.890000,34.938000,173.010000,13.177000,702.506000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.658000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.766000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,443.778000,0.000000,0.000000,0.000000,0.000000,0.000000,7156.336000
3,0.000000,0.000000,75.904000,2463.712000,0.000000,3.991000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,50.262000,0.000000,0.000000,0.000000,0.000000,0.000000,170.323000,54.153000,0.000000,0.000000,55.914000,2838.545000,211.644000,506.451000,0.000000,0.000000,61.038000,4.164000,301.346000,8.099000,148.674000,0.000000,82.149000,0.000000,3.854000,0.000000,2363.260000,0.000000,0.000000,0.000000,2.075000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.516000,0.000000,0.000000,0.516000,0.000000,0.000000,0.000000,0.000000,45.312000,0.000000,0.000000,0.000000,338.133000,0.000000,0.000000,0.000000,0.000000,3.108000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.920000,0.000000,0.000000,0.481000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.038000,0.000000,0.000000,0.553000,1.087000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,48.864000,0.000000,0.000000,0.000000,0.000000,0.000000,-2712.638000
4,0.000000,0.000000,0.000000,731.188000,0.000000,0.000000,0.000000,67.766000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4981.618000,2060.959000,758.944000,3469.380000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.514000,0.000000,0.000000,0.000000,0.000000,0.000000,862.778000
5,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,295.769000,0.000000,0.000000,777.208000,0.000000,564.379000,4596.809000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,36.911000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,573.585000,0.000000,0.000000,0.000000,0.000000,0.481000,0.000000,0.000000,0.000000,1.998000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,7.094000,0.000000,0.000000,0.362000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51.079000,11.414000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.499000,0.500000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.237000,23.295000,131.299000,289.921000,2763.381000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,53.439000,0.000000,47.752000,0.000000,0.000000,0.000000,21.025000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,365.029000,0.000000,0.000000,0.000000,0.000000,0.000000,-2944.764000
6,16805.732000,3187.259000,2277.518000,245.699000,10.035000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,70.336000,0.000000,0.000000,8.117000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,74.935000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2192.251000,0.000000,0.000000,0.000000,0.000000,0.000000,109.027000
7,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,51711.077000,1.538000,4.197000,43.818000,7.896000,39100.924000,59507.172000,45.329000,0.000000,0.585000,2.214000,1.174000,0.000000,0.576000,1.450000,0.516000,0.601000,0.213000,1.031000,0.576000,0.496000,0.000000,5.103000,5.797000,3.018000,16.158000,0.639000,1.989000,516728.856000,16152.401000,398.302000,69.108000,193.762000,19.102000,63.404000,267.838000,9.231000,4.735000,0.000000,0.427000,0.483000,0.087000,5.548000,0.000000,133.121000,0.000000,1.329000,0.940000,0.000000,0.544000,0.527000,0.000000,0.000000,0.903000,1.854000,0.198000,0.508000,0.245000,0.246000,0.243000,0.249000,0.243000,0.245000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.496000,0.996000,0.000000,0.000000,0.305000,0.024000,0.173000,0.000000,0.249000,0.246000,0.000000,0.250000,0.244000,72.764000,8.960000,17.918000,8.972000,43.813000,0.000000,0.000000,0.000000,0.000000,0.496000,285.303000,0.000000,0.000000,10.928000,4.683000,1.290000,0.998000,2.580000,0.042000,3.716000,0.827000,0.817000,0.177000,0.321000,0.000000,0.567000,0.253000,0.256000,0.500000,0.124000,0.125000,0.124000,0.125000,0.498000,0.822000,28.495000,1.315000,1.993000,0.658000,3.714000,3.502000,0.494000,133.845000,1.536000,3.749000,0.725000,1.001000,1.992000,0.723000,0.275000,1.979000,13.903000,0.834000,4.512000,10.584000,8.129000,6.806000,3.258000,3.943000,0.754000,1.906000,2.114000,83.434000,49.685000,5.462000,3.791000,6.596000,0.743000,1.775000,4.845000,1.111000,3.453000,4.451000,10.274000,25.012000,56.667000,165.972000,25.789000,1.876000,4.736000,2.248000,4.235000,6.267000,52.334000,3.180000,0.000000,0.848000,19.615000,0.000000,0.000000,2285.907000,74.978000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,15421.336000,0.000000,0.000000,0.000000,7650.733000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-381662.740000
8,0.000000,908.575000,0.000000,0.741000,0.000000,0.000000,57.950000,3599.530000,60.670000,74.003000,22.930000,12691.382000,0.000000,0.000000,0.000000,183.297000,785.300000,208.241000,375.634000,230.019000,378.611000,69.057000,237.683000,271.965000,270.281000,48.771000,183.993000,0.507000,4.569000,5.721000,5.906000,2104.235000,266.985000,0.000000,405.142000,427.206000,92.666000,16.280000,44.051000,4.619000,14.929000,14.697000,175.567000,72.469000,212.660000,504.972000,753.242000,617.701000,5562.406000,109.192000,438.809000,158.147000,263.491000,1.883000,0.522000,3.981000,0.498000,0.510000,0.471000,2.030000,3.097000,2.322000,4.437000,4.236000,1.551000,1.651000,1.846000,1.807000,7.262000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,3.073000,0.852000,2.472000,5.277000,20.889000,1.834000,32.829000,11.426000,1.633000,2.483000,0.562000,5.036000,3.977000,0.489000,0.000000,0.000000,10.710000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.546000,0.000000,3.037000,0.582000,0.000000,0.000000,0.394000,0.058000,0.413000,0.426000,0.421000,0.000000,0.000000,0.500000,0.578000,0.000000,0.526000,0.251000,0.084000,0.084000,0.084000,0.000000,0.507000,0.490000,8.547000,0.000000,0.508000,0.000000,61.056000,0.491000,0.492000,49.868000,0.467000,0.946000,0.069000,0.466000,0.495000,0.000000,0.848000,0.469000,1.347000,14.616000,3.512000,0.576000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,34.801000,12.801000,1.863000,1.411000,1.899000,0.000000,0.461000,0.000000,0.000000,1.280000,0.502000,2.265000,6.085000,10.701000,419.632000,4.713000,0.623000,1.047000,0.628000,0.613000,1.137000,10.984000,0.613000,0.000000,0.686000,5.940000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1216.191000,0.000000,1991.972000,0.000000,0.000000,0.000000,988.174000,0.000000,0.000000,0.000000,0.000000,799.767000,0.000000,0.000000,0.000000,0.000000,0.000000,2307.678000
9,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1577.050000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.819000,2329.088000,0.000000,134.495000,0.000000,149.260000,0.000000,41.108000,0.000000,0.000000,29.685000,5.085000,7.619000,85.115000,5384.992000,130.399000,772.794000,6604.127000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,344.843000,0.000000,91.670000,97.954000,65.165000,0.000000,0.000000,0.000000,46.232000,0.000000,0.000000,0.514000,13.077000,13.525000,0.000000,0.000000,0.000000,0.000000,0.000000,102.497000,6.008000,0.000000,0.000000,27.149000,22.093000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,42.607000,332.858000,3.484000,0.504000,0.000000,0.000000,1.006000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,57.816000,0.000000,18.174000,28.451000,6.968000,45.873000,0.000000,8.629000,29.629000,23.310000,0.000000,0.000000,0.000000,0.000000,0.253000,0.084000,0.085000,0.084000,0.000000,0.000000,0.000000,199.286000,0.000000,0.000000,0.000000,142.561000,0.000000,0.000000,2.482000,0.000000,0.000000,0.000000,0.000000,0.000000,102.072000,174.975000,0.000000,50.913000,0.000000,0.000000,290.768000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.633000,19.462000,0.000000,0.000000,0.000000,139.878000,18.119000,38.452000,3.131000,0.000000,3.668000,0.000000,536.405000,44.699000,22.697000,10.231000,52.925000,28.910000,0.000000,359.930000,0.666000,0.000000,28.486000,0.000000,54.397000,65.580000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.412000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,6512.611000
10,1148.485000,202.432000,0.000000,0.000000,0.000000,0.276000,0.000000,527.758000,7.891000,1255.129000,60.451000,147.854000,7.311000,69.876000,13642.304000,263.942000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,414.215000,0.000000,0.000000,289.653000,712.803000,0.000000,889.192000,0.000000,399.855000,41.751000,126.935000,0.000000,0.000000,348.343000,428.381000,5564.701000,1588.354000,43.672000,0.000000,0.000000,0.000000,129.955000,0.000000,1.433000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,18.796000,0.000000,0.536000,0.000000,2.384000,11.678000,0.000000,0.000000,0.000000,12.509000,0.000000,0.900000,0.000000,0.000000,0.000000,13.934000,0.000000,0.000000,0.000000,0.000000,0.000000,58.135000,0.000000,0.000000,0.000000,27.218000,0.000000,0.000000,0.000000,3.565000,0.000000,0.000000,0.000000,0.000000,0.002000,0.000000,100.609000,0.495000,5.146000,0.513000,0.000000,0.473000,0.000000,0.000000,0.001000,0.001000,0.000000,0.000000,0.272000,11.978000,36.314000,0.265000,0.481000,0.000000,0.000000,0.000000,0.000000,0.000000,0.332000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,217.846000,0.000000,0.000000,0.000000,68.145000,0.000000,0.088000,5.291000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,13.225000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.657000,0.000000,0.000000,0.000000,0.000000,0.000000,1.293000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,54.764000,0.000000,56.076000,0.000000,0.000000,0.000000,27.894000,0.000000,0.000000,0.000000,0.000000,1013.403000,0.189000,0.000000,0.000000,0.000000,0.000000,-1084.919000
