year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199,200,201,202,203,204
1997,0.055225426,0.000396412,-0.000463001,-0.011178469,0.011748359,0.011748359,0.005819471,-0.034919758,-0.236919149,0.114929235,-0.008510347,-0.008510347,0.307458205,0.153452388,0.153452388,-0.020993716,-0.043533166,0.048419998,-0.075523139,0.035281418,0.074738438,0.069527354,0.069527354,-0.048004279,-0.000221377,0.003264048,0.003264048,0.014528244,0.014528244,0.14269765,0.14269765,-0.024423119,-0.013720397,-0.051906879,-0.051906879,0.104306635,0.104306635,-5.65E-05,-0.057370534,-0.057980482,-0.057980482,0.070400896,0.070400896,0.090069906,0.090069906,0.07610248,0.07610248,0.058835785,0.058835785,-0.142461846,0.016966021,0.053201587,0.053201587,-0.044354879,0.14332904,-0.035641896,-0.035641896,0.133408702,0.133408702,0.068980501,0.068980501,0.04510261,0.04510261,-0.095735496,-0.095735496,0.080371602,0.080371602,-0.028270613,0.029638015,0.029638015,-0.027787072,0.087861054,0.087861054,-0.012256528,-0.012256528,-0.055434253,-0.055434253,0.043045005,0.043045005,0.024750653,0.024750653,-0.066195006,-0.110090679,-0.110090679,0.023326555,0.023326555,0.057351263,0.057351263,-0.118106434,-0.118106434,0.0171591,0.0171591,-0.010502194,-0.010502194,-0.035038746,-0.035038746,-0.002473856,-0.031238319,-0.031238319,0.029724509,0.029724509,-0.018020737,-0.018020737,-0.10652786,-0.10652786,0.147535575,-0.026072568,-0.026072568,-0.0854424,-0.0854424,-0.138226069,-0.138226069,0.03285762,0.03285762,0.034135235,0.056112426,0.056112426,0.01015163,-0.066504287,-0.066504287,-0.109829991,-0.109829991,0.083530984,0.105573997,0.105573997,0.055746125,0.055746125,-0.116342006,-0.116342006,0.07104985,0.07104985,-0.007590221,-0.007590221,0.113380707,-0.06040949,0.070388079,0.070388079,0.004164777,0.004164777,0.037313136,0.094570472,0.094570472,0.030638617,0.030638617,0.048382937,0.048382937,-0.006225564,-0.006225564,-0.009074991,0.068475681,0.068475681,-0.036278262,-0.036278262,0.01176425,0.01176425,-0.101429062,-0.094898531,-0.08349134,-0.08349134,0.020223188,0.061152141,0.061152141,0.018240958,0.018240958,0.017607723,0.017607723,0.004073319,0.004073319,-0.039542046,-0.039542046,0.047926532,-0.005774315,0.019413675,-0.013359744,0.013693262,-0.03977822,-0.03977822,-0.002686556,-0.000190437,0.00069394,-0.000871752,0.00068997,0.000154593,0,0,0,0,0.001326121,0,0,0.000129043,0,0,0,0,0,0,0,0,0.005533196,0.000407232,0,0,0,0
1998,-0.052261683,-0.000338534,0.000374825,-0.009255152,0.00209092,0.00209092,-0.155470621,0.073368749,0.015268693,0.015268693,-0.051017872,-0.051017872,0.100140241,0.100140241,-0.028272178,-0.028272178,-0.004580784,-6.78E-05,-6.78E-05,0.023319512,-0.148710215,-0.148710215,0.072187662,0.017066543,0.116236104,0.116236104,0.034200714,0.060098024,0.11264614,-0.038721032,-0.038721032,-0.085061703,-0.085061703,-0.074881758,-0.074881758,0.132027417,0.132027417,-0.019219601,-0.12628531,-0.028081829,-0.028081829,-0.057229077,-0.057229077,0.0493175,0.0493175,0.0919578,0.0919578,-0.045546258,-0.131805991,-0.131805991,0.115213128,0.115213128,0.055043766,0.013261834,0.013261834,-0.096217148,-0.096217148,-0.013180665,-0.013180665,0.149551888,-0.090247371,-0.090247371,-0.037100911,-0.142213904,-0.142213904,0.040170649,0.040170649,0.124163404,0.124163404,0.038444794,-0.01222533,-0.01222533,-0.059106161,0.102245614,0.102245614,0.021836567,0.021836567,0.06253423,0.06253423,0.123860577,0.097863965,0.097863965,-0.099245101,-0.099245101,0.09785539,0.09785539,-0.117096296,-0.047003702,-0.047003702,-0.002207612,0.021980267,0.021980267,0.006340869,0.006340869,-0.079107431,-0.079107431,-0.145100405,-0.145100405,-0.073156462,-0.073156462,-0.061314799,-0.061314799,0.00795718,0.00795718,-0.091168727,-0.091168727,-0.054781485,-0.054781485,-0.14936757,-0.14936757,0.166417745,0.166417745,0.133046445,0.133046445,0.055611527,0.055611527,0.043300331,0.043300331,-0.003140564,-0.003140564,-0.0099325,-0.0099325,0.004828258,0.004828258,0.016053957,0.016053957,0.0899653,-0.038361813,-0.038361813,-0.054935337,0.091266231,0.091266231,0.0819524,0.0819524,0.042265681,0.042265681,0.052135197,-0.023047386,-0.023047386,0.05521219,0.022439957,0.022439957,-0.080174133,-0.080174133,-0.069364738,-0.069364738,-0.037863799,-0.037863799,0.000970036,-0.042637573,-0.042637573,-0.027321792,-0.027321792,-0.061626092,-0.061626092,0.064345687,0.064345687,0.081991717,0.081991717,0.081610024,-0.069563516,-0.069563516,-0.014188129,0.029430804,0.029430804,0.027454452,0.027454452,-0.002475253,0.015250445,0.015250445,0.074716314,0.074716314,0.065229196,0.064405185,-0.048861784,0.012248192,0.012248192,-0.002586331,-0.000283713,0.000531897,-0.000795195,0.000829321,8.02E-05,0,0,0,0,0.001605423,0,0,0.00023659,0,0,0,0,0,0,0,0,0.004189933,0.000564544,0,0,0,0
1999,-0.048739052,-0.000363163,-0.000227933,-0.009716034,0.159088162,0.107480388,-0.339320925,0.024568652,-0.010452547,-0.010452547,0.014506099,0.014506099,0.008979733,-0.014939105,0.019889852,0.021400662,0.104138105,0.104138105,-0.063111064,-0.081230176,-0.082845426,-0.01987433,-0.085441755,-0.085441755,-0.061356517,-0.071569462,0.090981231,0.090981231,0.028498902,0.028498902,0.133178185,-0.085206029,-0.085206029,-0.062395199,-0.062395199,0.044901384,-0.130846076,-0.130846076,-0.088751957,0.087077926,0.087077926,-0.00609687,-0.00609687,-0.102648861,-0.102648861,-0.073575665,-0.112529326,0.043873857,0.014955069,-0.099791549,-0.099791549,0.036098131,0.036098131,-0.102018029,-0.102018029,-0.078696528,-0.078696528,0.093629919,0.093629919,0.002048177,0.002048177,-0.062269183,0.141136038,0.105743222,-0.049837457,-0.049837457,-0.065298406,-0.065298406,-0.050693473,-0.050693473,-0.118606829,-0.118606829,0.031820956,0.031820956,0.012277025,-0.111588469,-0.137466223,-0.137466223,-0.061738763,-0.061738763,0.077771934,0.077771934,-0.003779144,-0.003779144,-0.108772762,-0.108772762,0.027810473,-0.087409418,-0.087409418,0.078169432,0.078169432,0.035144802,0.035144802,0.01274007,0.01274007,0.014185513,0.007234681,0.017161533,0.017161533,0.012745443,0.012745443,0.03796941,0.03796941,-0.008921239,-0.008921239,-0.021660149,-0.021660149,0.006567399,0.006567399,0.0005549,0.0005549,0.078084224,0.078084224,-0.051930623,-0.051930623,0.043469534,0.003201689,-0.074479831,-0.074479831,-0.009804165,-0.009804165,0.0767904,0.0767904,-0.001515367,-0.001515367,-0.01326397,0.017864924,0.017864924,0.008059474,0.008059474,0.068142716,0.019322888,0.019322888,-0.020244869,-0.020244869,0.035036642,0.035036642,0.021286711,0.021286711,0.028111105,0.028111105,-0.038477374,-0.038477374,-0.020258459,-0.047540151,-0.047540151,0.059197943,0.059197943,-0.003784682,-0.003784682,0.046578608,0.029510993,0.029510993,-0.043971405,-0.043971405,-0.016440471,-0.016440471,-0.015092078,-0.03117649,-0.03117649,-0.019450878,-0.019450878,0.006583816,-0.011576555,0.041908361,0.041908361,0.019189132,0.003282848,0.033849275,0.033849275,0.047087559,0.047087559,-0.044009764,-0.029724337,-0.039018069,-2.80E-05,-2.80E-05,-0.002186745,-0.000217066,0.000561397,-0.000450341,0.001068855,1.80E-05,0,0,0,0,0.001388513,0,0,-8.47E-05,0,0,0,0,0,0,0,0,0.002694091,0.000894956,0,0,0,0
2000,0.042375449,0.000374535,-0.000259376,-0.008729549,-0.002955052,-0.002955052,0.002477555,0.008850784,0.011248764,0.225468086,0.006288254,0.006288254,-0.29077472,0.013926559,0.006239151,-0.097872361,-0.097872361,0.058910356,0.058910356,0.075334493,0.111246815,-0.021884544,0.001900757,0.001900757,0.033073247,-0.117446368,-0.117446368,0.004744852,0.02066719,0.02066719,-0.052710241,-0.052710241,0.150242456,-0.101281462,-0.101281462,-0.046423434,-0.046423434,0.110937004,0.085998803,-0.068503229,-0.068503229,0.018936047,0.036510455,-0.001432698,-0.001432698,-0.020207918,-0.020207918,-0.04123474,-0.04123474,0.110680475,0.110680475,0.011935251,0.125119481,-0.020911061,-0.020911061,-0.078484452,-0.078484452,0.025291207,0.025291207,-0.042759183,-0.042759183,-0.053072462,-0.053072462,-0.038169682,-0.120375782,-0.017625187,0.063740093,0.063740093,-0.101271649,-0.020862648,-0.020862648,0.093610706,0.093610706,-0.001763899,-0.001763899,-0.005390006,-0.005390006,-0.002336805,-0.002336805,-0.070823525,-0.070823525,-0.000774237,-0.000774237,-0.082063922,0.063545511,0.037994264,0.110361151,0.110361151,-0.023776933,-0.023776933,-0.069788494,-0.069788494,-0.007434186,-0.007434186,-0.033571913,0.089349683,0.089349683,-0.014768394,-0.014768394,-0.006975117,-0.006975117,-0.156989827,-0.156989827,0.028266422,0.028266422,0.036581511,0.036581511,0.010702184,0.010702184,0.038047602,0.038047602,-0.020216496,-0.020216496,-0.025293033,-0.132001058,-0.132001058,0.036009789,0.036009789,0.019454684,0.019454684,0.035376002,0.035376002,0.015173916,0.015173916,-0.004778747,-0.004778747,0.035956127,-0.022244305,0.097901227,0.097901227,-0.009911162,-0.009911162,0.075004362,0.075004362,0.039415601,0.039415601,0.104111292,-0.008172616,-0.008172616,-0.021164262,-0.021164262,0.008318181,0.008318181,-0.007503532,-0.007503532,-0.064009044,-0.064009044,0.01393186,0.01393186,-0.000677191,-0.000677191,-0.017281655,-0.017281655,-0.02684516,-0.02684516,-0.073548533,-0.073548533,0.022836694,0.022836694,-0.069002977,0.043026935,0.043026935,-0.007269478,-0.027316329,-0.027316329,-0.028541306,-0.041439596,-0.041439596,-0.009455958,-0.078037352,-0.036159691,-0.032931641,-0.032931641,0.036666684,0.036666684,0.071124344,-0.002206512,-0.001391681,-0.000232727,0.000411331,-0.000328889,0.00115455,-0.000162759,0,0,0,0,0.001108083,0,0,0.000124361,0,0,0,0,0,0,0,0,0.002094005,0.001291696,0,0,0,0
2001,0.040077137,0.000290473,-0.000143519,-0.008004343,0.18401906,0.010045315,0.010045315,0.005002369,0.002490351,-0.200475624,-0.003094244,-0.003094244,-0.123638366,-0.123638366,0.107482604,0.001980858,0.257743855,-0.014626247,0.048119253,-0.01787922,0.039470227,-0.01732608,0.007712403,-0.044382347,-0.044382347,0.003768508,-0.048186482,-0.048186482,-0.015252887,-0.015252887,0.064366327,-0.006709428,-0.280209552,-0.036042886,0.019778958,0.043231212,0.043231212,0.099757085,0.099757085,0.004989711,0.004989711,0.098687489,0.010374947,0.010374947,-0.01573813,0.02465325,-0.066770004,-0.066770004,-0.007027877,-0.007027877,0.138646533,-0.045128503,-0.045128503,0.10524829,0.10524829,0.012725208,0.012725208,0.071947428,0.002780896,0.002780896,-0.049569515,-0.015781315,-0.151292789,-0.151292789,0.142210436,-0.002981739,-0.002981739,-0.027667888,0.014838125,0.014838125,0.063574049,0.063574049,-0.043587424,-0.043587424,0.078134081,0.078134081,0.05515894,0.05515894,-0.071533292,0.017472798,-0.039324123,-0.039324123,-0.069890883,-0.0346481,-0.0346481,0.105573656,0.047183429,-0.071929472,-0.014466647,-0.014466647,0.056308038,0.056308038,-0.00364117,0.141064125,-0.034408218,-0.034408218,0.00499418,0.00499418,0.0557446,0.0557446,0.010953064,0.010953064,0.0294231,0.0294231,0.090471058,0.090471058,0.05464637,0.05464637,0.095914574,0.095914574,0.039750886,0.039750886,-0.141721276,-0.141721276,-0.007321001,-0.007321001,-0.029224649,-0.029224649,-0.094829147,-0.094829147,0.007468386,0.074204657,0.074204657,0.021352362,0.050294022,0.050294022,0.057554224,0.057554224,0.008683202,0.008683202,-0.019667316,-0.019667316,-0.021634461,-0.021634461,-0.020345034,-0.018996538,-0.018996538,-0.003638506,-0.003638506,-0.041563378,-0.003380518,-0.003380518,-0.032034159,-0.032034159,0.002541808,0.002541808,0.027359159,0.027359159,0.015566307,0.015566307,-0.003414254,0.005052108,0.005052108,-0.022443168,-0.022443168,-0.030507146,-0.030507146,-0.040525498,-0.040525498,-0.002471361,-0.002471361,-0.036996162,-0.036996162,-0.033648465,-0.033648465,0.018942018,0.018942018,0.001206998,0.001206998,0.110983099,-0.073722064,-0.020511138,-0.027828684,-0.027828684,0.043302704,0.016447154,0.016447154,-0.001554313,-0.000184348,0.000283004,-0.000152411,0.001069883,-4.09E-05,0,0,0,0,0.001620641,0,0,2.48E-05,0,0,0,0,0,0,0,0,0.002129535,0.001291341,0,0,0,0
2002,0.039687647,0.000377068,-0.000355423,-0.007962995,0.017668521,0.001027875,0.001027875,-0.026996738,-0.013874812,-0.013874812,0.101769282,-0.020557095,0.101340734,0.101340734,-0.066389244,-0.034760605,0.066538224,0.148706611,0.015940265,0.015940265,0.106532226,0.139805056,-0.114448914,-0.114448914,0.099190987,0.123703404,-0.074753144,-0.074753144,-0.037494179,-0.037494179,-0.012587855,-0.012587855,0.033363089,0.022612643,0.011436834,0.045435998,0.045435998,-0.010779112,-0.010779112,-0.14048632,-0.14048632,-0.003737677,-0.003737677,0.02055939,-0.062465473,-0.062465473,0.027131578,0.027131578,0.101404109,0.082713891,0.082713891,-0.05246409,-0.05246409,-0.142107878,-0.142107878,-0.091416527,-0.091416527,0.001996687,0.001996687,0.020367024,-0.005840505,-0.118673409,-0.118673409,-0.047261954,-0.014845289,0.028962526,0.028962526,-0.016273729,-0.016273729,0.093132753,0.093132753,0.01008941,0.01008941,-0.144980136,-0.144980136,-0.091841591,0.006857626,0.006857626,0.034382112,0.034382112,0.004088473,0.004088473,-0.068429035,-0.068429035,0.050048392,-0.098571541,0.105388409,0.105388409,0.081345473,0.001876996,0.001876996,0.017605612,-0.003836112,-0.003836112,-0.008349555,-0.008349555,-0.053024861,0.055098869,-0.021120935,-0.021120935,0.039787842,0.039787842,0.044276744,0.044276744,0.048982944,0.048982944,0.018034005,0.018034005,-0.122506768,-0.122506768,-0.005020698,0.021201828,0.021201828,-0.059397001,0.097045332,0.097045332,0.002503379,0.002503379,-0.025103514,-0.025103514,-0.005680071,-0.005680071,-0.024710765,-0.024710765,0.058531878,0.058531878,-0.125993502,-0.125993502,0.018673693,0.019695531,0.019695531,0.034178756,0.034178756,-0.01756621,-0.01756621,-0.030555053,-0.023271394,-0.023271394,0.020685547,0.020685547,-0.006111064,-0.006111064,0.057756662,0.057756662,0.028989967,0.028989967,0.004939016,0.004939016,0.055121624,-0.030113929,-0.030113929,-0.012975638,-0.012975638,0.025375811,-0.00422134,-0.00422134,0.024740854,0.024740854,-0.042897614,-0.042897614,0.042574151,-0.021495393,-0.021495393,-0.014788982,-0.014788982,0.011069225,0.011069225,0.060070911,0.060070911,-0.025258565,-0.010312292,-0.010312292,-0.034672034,0.067593369,-0.062091186,-0.062091186,0.086471703,-0.001287845,-0.000109873,0.000564444,-0.000187824,0.001688237,-4.42E-05,0,0,0,0,0.000856469,0,0,0.000127733,0,0,0,0,0,0,0,0,-0.000660263,0.002017834,0,0,0,0
2003,0.041496477,-0.000460446,-0.00033869,0.008242901,-0.015145633,0.010850576,-0.010128774,-0.010128774,0.12449227,-0.00744997,-0.046102389,0.006587053,0.019947784,-0.131384644,-0.131558638,0.037015108,0.037015108,0.055828199,0.015623838,0.015623838,-0.09500736,-0.09500736,-0.067830247,-0.067830247,-0.12498107,-0.037488172,-0.037488172,0.000943714,0.000943714,0.003386591,-0.096039693,-0.096039693,0.11313683,0.11313683,0.04716895,0.04716895,0.086494222,0.086494222,0.1879109,0.1879109,-0.0412513,-0.0412513,-0.062082981,-0.062082981,-0.009583948,-0.009583948,-0.090678082,-0.090678082,0.017933382,0.017933382,0.08288512,0.141747714,-0.103364647,-0.103364647,0.193487238,0.193487238,-0.046921413,-0.046921413,-0.057306481,-0.094435306,-0.094435306,0.04090838,0.04090838,0.020162818,0.086073039,0.15719406,0.15719406,-0.044737187,0.029364086,0.029364086,0.015970649,0.015970649,-0.020102643,-0.020102643,-0.006580164,-0.006580164,-0.031380598,0.055776446,-0.019403182,-0.019403182,-0.001905179,-0.001905179,0.029941843,-0.009096846,-0.009096846,0.040964935,0.040964935,0.007046947,0.007046947,-0.037640398,0.082087526,0.082087526,-0.124005191,0.007752454,0.007752454,0.157822404,-0.015944048,-0.015944048,0.040454806,0.040454806,0.093130688,0.093130688,-0.039812077,0.058602905,0.058602905,-0.178243884,-0.178243884,0.076175757,0.076175757,-0.056384548,-0.056384548,-0.023588516,0.005209016,0.005209016,-0.19795899,-0.19795899,0.167216753,0.167216753,-0.033909842,-0.033909842,-0.108439793,-0.108439793,0.044583614,0.044583614,-0.048543592,-0.048543592,-0.030002986,-0.030002986,-0.010553139,-0.045744729,-0.045744729,-0.025656399,-0.025656399,-0.035567593,-0.023029669,-0.023029669,-0.026860007,-0.026860007,-0.024066497,-0.024066497,0.001223939,0.001223939,-0.060940587,-0.046873902,-0.046873902,0.034365841,0.034365841,0.033245864,0.033245864,-0.092965568,-0.013253532,-0.013253532,0.001286703,0.001286703,-0.015929916,-0.015929916,0.031017674,0.031017674,-0.039579187,-0.039579187,-0.03612575,-0.03612575,-0.024774799,0.008558335,0.008558335,-0.003502172,-0.003502172,-0.050115043,-0.050115043,0.096106879,0.050555862,-0.029102987,0.003528282,0.003528282,-0.014835744,0.035974458,0.025711143,-0.001380939,-0.000266976,0.000314966,-0.000375764,0.001509507,-5.34E-05,0,0,0,0,0.001078958,0,0,-1.72E-05,0,0,0,0,0,0,0,0,-0.000741111,0.002679729,0,0,0,0
2004,0.040699979,-0.000494753,0.00023807,-0.008210751,-0.016096229,-0.206561453,-0.206561453,0.164942549,0.006416759,0.05915426,-0.080258595,-0.080258595,-0.004122332,-0.004122332,-0.031739706,-0.224228522,-0.004184454,-0.01968367,-0.01968367,-0.042897858,-0.042897858,0.106850905,0.106850905,0.003091195,0.035467853,0.035467853,-0.035090056,-0.035090056,-0.020617332,-0.036599633,-0.036599633,-0.063532214,-0.063532214,0.105531141,0.105531141,0.073914021,0.073914021,-0.043020996,0.033256989,0.033256989,-0.041455178,-0.041455178,0.02728399,0.02728399,0.006901762,0.006901762,0.036117175,0.036117175,-0.082568252,-0.082568252,0.133575941,0.133575941,-0.023241924,-0.0499661,-0.0499661,-0.163382402,-0.163382402,0.065270764,0.065270764,-0.119001993,-0.119001993,-0.019625582,-0.109570063,-0.109570063,0.005820154,0.005820154,-0.058668146,0.076674548,-0.058017604,-0.107533522,-0.107533522,-0.059450483,0.027000807,-0.035682018,-0.035682018,0.016102927,0.016102927,0.0078782,-0.011041384,-0.011041384,0.067051315,0.067051315,0.02554089,0.02554089,-0.065163865,-0.065163865,-0.036742351,-0.036742351,0.003778197,0.003778197,-0.046393347,-0.074636342,-0.007453446,-0.007453446,0.092574091,-0.030102912,-0.030102912,-0.125367524,-0.125367524,-0.018113938,-0.018113938,0.025960637,0.025960637,-0.018407061,0.001419088,0.001419088,0.031031185,0.090636011,0.090636011,-0.04513691,-0.04513691,0.063208757,0.063208757,-0.012307862,-0.012307862,-0.231155781,-0.231155781,-0.05813495,-0.05813495,0.055834305,0.055834305,0.032714106,0.032714106,-0.056011934,-0.056011934,0.00710821,0.039893462,0.039893462,-0.011703537,-0.039850062,-0.039850062,0.144666143,0.144666143,-0.060505205,-0.060505205,-0.008493547,-0.008493547,-0.00892212,-0.00892212,-0.023823863,-0.023823863,0.088370695,-0.001873326,-0.001873326,0.032886923,0.032886923,0.053269288,0.053269288,0.056602769,0.056602769,-0.057613865,-0.057613865,-0.008629235,-0.008629235,-0.02151548,-0.02151548,0.05311975,-0.017230473,0.016307062,0.016307062,0.043470469,0.02096201,0.02096201,0.055200318,0.055200318,0.032366991,0.032366991,0.025585848,0.025585848,-0.009275444,-0.009275444,-0.011674276,-0.011674276,-0.035388863,-0.035388863,0.04006837,0.012118612,-0.001289423,-0.00027015,0.000144967,-0.000636546,0.001321229,-0.000163725,0,0,0,0,0.000957182,0,0,-4.31E-05,0,0,0,0,0,0,0,0,-0.000311854,0.003368485,0,0,0,0
2005,0.03461909,-0.000486342,-0.000204223,0.008956282,-0.011977688,-0.011977688,-0.20630868,-0.20630868,-0.168428699,-0.00206711,-0.019018358,-0.019018358,0.050767234,0.038009434,0.038009434,-0.073999855,-0.073999855,-0.008767359,-0.008767359,0.127187499,-0.135084038,-0.135084038,-0.156610958,-0.040732325,-0.040732325,-0.029364417,-0.029364417,-0.004392398,-0.037659707,0.059471372,0.059471372,-0.02016416,-0.02016416,-0.101697261,0.002167006,0.077402642,0.143637039,0.143637039,-0.063006541,-0.063006541,0.032202317,0.032202317,-0.090263901,-0.105338612,0.146966042,0.078241737,0.229927454,0.229927454,-0.072855314,-0.072855314,-0.096245145,-0.096245145,0.015252749,0.015252749,-0.071643859,-0.071643859,0.095266303,0.095266303,0.087481658,0.075317999,0.075317999,0.014761641,0.180534782,0.082791717,0.082791717,-0.056693962,-0.056693962,0.036130337,0.036130337,-0.040338638,-0.040338638,-0.066804274,-0.066804274,-0.066825519,-0.062294849,-0.062294849,-0.02448642,0.098184713,0.098184713,-0.043875431,0.074414537,0.074414537,0.080648246,-0.050973782,-0.050973782,-0.006306617,-0.006306617,-0.072637586,-0.035966709,-0.035966709,-0.146469499,-0.146469499,0.034280632,-0.109990202,0.097492597,0.097492597,0.002456746,0.002456746,-0.069263866,-0.069263866,-0.080158473,0.012373637,0.012373637,0.023162288,0.023162288,-0.001474116,-0.199747351,-0.199747351,0.079834149,0.079834149,-0.063625351,0.03299419,0.03299419,0.05440889,0.05440889,0.079362232,0.079362232,0.006963048,0.032189531,0.032189531,0.04989926,-0.051711012,-0.051711012,-0.044411412,-0.044411412,-0.045516219,0.078483107,0.078483107,0.04520187,0.028623758,0.028623758,-0.051410487,-0.051410487,-0.036969646,-0.036969646,-0.068616172,-0.068616172,0.075520811,0.075520811,0.010297115,0.010297115,0.045359402,0.045359402,0.010822935,0.010822935,0.044361393,0.044361393,-0.023756793,-0.023756793,-0.007172283,-0.007172283,-0.038429799,-0.038429799,-0.05366798,0.056369742,0.056369742,0.004126033,0.004126033,-0.034789645,-0.034789645,-0.000695909,-0.000695909,0.044947705,0.044947705,-0.021359326,0.045534706,0.045534706,0.003680863,0.091321758,0.018867571,0.006469535,0.006469535,-0.059385726,-0.059385726,0.051630704,0.08759697,-0.006349014,-0.000977276,-0.000268069,9.43E-05,-0.000473282,0.001022455,-1.65E-05,0,0,0,0,0.00087661,0,0,-2.09E-05,0,0,0,0,0,0,0,0,-0.000231139,0.004014872,0,0,0,0
2006,0.035876462,-0.000615049,0.00016806,0.007888417,-0.014271271,-0.224692997,-0.224692997,0.276987502,-0.295171649,-0.010839241,0.078003851,0.078003851,-0.000736611,-0.000736611,-0.018010608,-0.018010608,0.058035404,0.058035404,0.011531159,-0.109163117,0.041110718,0.171708133,0.171708133,-0.15448029,-0.036680674,-0.036680674,0.059583112,0.164042736,-0.003361248,-0.003361248,-0.02041386,-0.02041386,-0.08583199,-0.08583199,-0.090541997,-0.090541997,0.21105428,0.21105428,0.050230999,-0.099639474,-0.099639474,0.113539393,0.113539393,0.045002556,0.045002556,-0.038619068,-0.038619068,-0.086409814,-0.086409814,0.011692026,0.011692026,0.057563204,0.208441496,0.208441496,0.093065471,0.093065471,0.103610584,0.103610584,0.12062911,0.12062911,-0.030821334,0.137585152,0.137585152,-0.028070779,-0.043174701,-0.043174701,0.095354236,0.095521529,0.095521529,-0.04928889,0.051146766,0.051146766,0.022473194,0.022473194,-0.106839711,-0.106839711,0.083750579,0.083750579,0.014134373,0.003804921,-0.002287308,-0.001249116,-0.001249116,-0.004980953,-0.078099278,-0.078099278,-0.004784492,-0.004784492,-0.027724639,-0.027724639,0.02118056,-0.07376236,-0.07376236,-0.094158604,-0.094158604,0.014214123,0.014214123,0.034204088,0.034204088,-0.00168402,-0.00168402,-0.034189292,-0.034189292,0.025021621,-0.04479907,-0.04479907,-0.116066841,-0.116066841,0.144530276,0.144530276,0.003567116,0.003567116,0.019554675,0.009990899,0.009990899,-0.050373109,-0.050373109,0.033519565,-0.017204258,-0.017204258,-0.088044347,-0.088044347,0.0273499,0.0273499,0.001551497,0.001551497,-0.04681942,-0.04681942,-0.057822271,-0.057822271,-0.067819642,-0.067819642,-0.000373679,-0.000373679,-0.004035563,-0.004035563,0.002979057,0.002979057,-0.009357383,-0.033143122,-0.033143122,-0.11975743,-0.11975743,0.047883938,0.047883938,0.000848782,0.000848782,-0.026592173,-0.035329892,0.073228896,0.073228896,0.079532173,0.079532173,-0.061541741,-0.061541741,0.079389983,-0.017116676,-0.017116676,0.068644727,0.068644727,-0.011389663,-0.011389663,0.057500505,0.057500505,0.032015109,0.012538246,0.012538246,-0.000610168,0.066366886,-0.003890578,-0.04644967,-0.108224201,-0.108224201,-0.068491988,-0.068491988,-0.041196942,-0.041196942,-0.001061957,-0.000252034,0.00012027,-0.000603418,0.000762617,-8.37E-05,0,0,0,0,0.000533716,0,0,0.0002171,0,0,0,0,0,0,0,0,-0.000544045,0.004984823,0,0,0,0
