contract_id,cname,cik,ftype,fdate,link,Column1,Sales contract? (Y/N),Filer is seller? (Y/N),Amendment? (Y/N),Amendment #,Customer name (be consistent),Sold product/service (be consistent),Notes,Total Words,Flesch Reading Ease Score,Gunning Fog Index,Number of Entities,Words in Entities,Number of Times,Words in Times,Number of Locations,Words in Locations,Number of Organizations,Words in Organizations,Number of Persons,Words in Persons,Number of Money,Words in Money,Number of Percentages,Words in Percentages,Number of Dates,Words in Dates,Total Sentences,Total Forward Sentences,Forward Ratio,Uncertainty Words,Polarity,Subjectivity,Positive Words,Negative Words,24b,confidential treatment,ct order,redact,rule 406,rights,obligations,commercial substance,performance obligation,probable,collectib,at a point in time,over time,variable consideration,noncash consideration,transaction price,standalone selling price,1Gram Cos Sim Step1  ,1Gram Cos Sim Step2 ,1Gram Cos Sim Step3,1Gram Cos Sim Step4  ,"1Gram Cos Sim Step5, including 5.1 and 5.2",1Gram Cos Sim Step5.1,1Gram Cos Sim Step5.2,1Gram Cos Sim All
1,COMSTOCK RESOURCES INC -OLD,23194,10-Q,8/6/2004,https://www.sec.gov/Archives/edgar/data/23194/000095013404011584/d16950exv10w3.htm, ,Y,Y,,,"Bois d'Arc Energy, LLC","accounting, human resources and other services",,743,37.37,17.51,103,205,0,0,1,3,29,79,28,46,0,0,0,0,5,10,40,5,0.12,10,0.04,0.37,5,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.041093993,0.06182206,0.045205038,0.049735834,0.039882289,0.050034097,0.020483211,0.057998289
1,CONAGRA BRANDS INC,23217,10-K,7/21/2017,https://www.sec.gov/Archives/edgar/data/23217/000162828017007184/cag-5x28x2017x10kex10321.htm,,Y,Y,Y,1,"Lamb Weston, Inc.",License,,886,37.88,15.56,168,387,0,0,0,0,45,141,32,46,0,0,0,0,13,44,55,1,0.02,3,0.09,0.39,5,29,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0.103441348,0.039310977,0.092483771,0.072211952,0.083950227,0.056134776,0.068131127,0.100422936
2,DIODES INC,29002,10-Q,8/8/2013,https://www.sec.gov/Archives/edgar/data/29002/000119312513327122/d579876dex102.htm,,Y,Y,,,LITE-ON TECHNOLOGY CORPORATION,Products,,1989,-26.65,35.13,265,367,0,0,1,2,168,216,16,27,2,9,0,0,8,24,74,7,0.09,9,0.06,0.43,13,115,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0.173501103,0.074985247,0.151917175,0.144997065,0.161723555,0.098173395,0.164767225,0.180328123
1,DIXIE GROUP INC,29332,8-K,10/22/2019,https://www.sec.gov/Archives/edgar/data/29332/000002933219000067/a102psafor3201susan.htm, ,Y,Y,,,CENTERPOINT PROPERTIES TRUST,the Project,,13375,-39.61,41.94,1775,3166,11,20,31,47,362,880,626,750,19,25,9,26,133,302,623,39,0.06,136,0.05,0.41,109,552,0,0,0,0,0,53,117,0,0,0,0,0,0,0,0,0,0,0.198282467,0.091046497,0.171709562,0.168598213,0.183281696,0.127260827,0.167526566,0.20675396
1,EL PASO ELECTRIC CO,31978,10-Q,11/9/2004,https://www.sec.gov/Archives/edgar/data/31978/000119312504191140/dex1002.htm , ,Y,Y,,,,Electricity,,296,31.72,13.81,22,46,1,2,0,0,12,30,0,0,0,0,0,0,4,4,20,2,0.1,4,0.14,0.43,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016748281,0.006927427,0.0109573,0.014315936,0,0,0,0.012297751
2,EL PASO ELECTRIC CO,31978,10-Q,5/6/2005,https://www.sec.gov/Archives/edgar/data/31978/000119312505099245/dex1003.htm , ,Y,Y,,,,Electricity,,8,-57.12,16,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016748281,0.006927427,0.0109573,0.014315936,0,0,0,0.012297751
2,EL PASO ELECTRIC CO,31978,10-Q,5/10/2007,https://www.sec.gov/Archives/edgar/data/31978/000119312507109598/dex1004.htm , ,Y,Y,,,Imperial Irrigation District,Firm capacity and system contingent capacity,,8,2.11,16,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016748281,0.006927427,0.0109573,0.014315936,0,0,0,0.012297751
2,EL PASO ELECTRIC CO,31978,10-Q,11/6/2008,https://www.sec.gov/Archives/edgar/data/31978/000119312508226233/dex1006.htm ,,Y,Y,Y,1,Imperial Irrigation District,Firm capacity and system contingent capacity,,8,-6.36,16,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016748281,0.006927427,0.0109573,0.014315936,0,0,0,0.012297751
2,EL PASO ELECTRIC CO,31978,10-Q,5/6/2009,https://www.sec.gov/Archives/edgar/data/31978/000119312509101641/dex1003.htm ,,Y,Y,Y,2,Imperial Irrigation District,Firm capacity and system contingent capacity,,8,-23.28,12,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.041064962,0.061778385,0.045173102,0.049700697,0.039854113,0.04999875,0.02046874,0.057957315
1,EL PASO ELECTRIC CO,31978,10-Q,8/6/2009,https://www.sec.gov/Archives/edgar/data/31978/000119312509167228/dex1006.htm , ,Y,Y,Y,3,Imperial Irrigation District,Firm capacity and system contingent capacity,,8,-65.58,20,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016748281,0.006927427,0.0109573,0.014315936,0,0,0,0.012297751
