contract_id,cname,cik,ftype,fdate,link,Column1,Sales contract? (Y/N),Filer is seller? (Y/N),Amendment? (Y/N),Amendment #,Customer name (be consistent),Sold product/service (be consistent),Notes,Total Words,Flesch Reading Ease Score,Gunning Fog Index,Number of Entities,Words in Entities,Number of Times,Words in Times,Number of Locations,Words in Locations,Number of Organizations,Words in Organizations,Number of Persons,Words in Persons,Number of Money,Words in Money,Number of Percentages,Words in Percentages,Number of Dates,Words in Dates,Total Sentences,Total Forward Sentences,Forward Ratio,Uncertainty Words,Polarity,Subjectivity,Positive Words,Negative Words,24b,confidential treatment,ct order,redact,rule 406,rights,obligations,commercial substance,performance obligation,probable,collectib,at a point in time,over time,variable consideration,noncash consideration,transaction price,standalone selling price,1Gram Cos Sim Step1 max=.95  ,1Gram Step 2Max 0.95,1Gram Cos Sim Step3,1Gram Cos Sim Step4  ,"1Gram Cos Sim Step5, including 5.1 and 5.2",1Gram Cos Sim Step5.1,1Gram Cos Sim Step5.2,1Gram Cos Sim All
1,COMSTOCK RESOURCES INC -OLD,23194,10-Q,8/6/2004,https://www.sec.gov/Archives/edgar/data/23194/000095013404011584/d16950exv10w3.htm, ,Y,Y,,,"Bois d'Arc Energy, LLC","accounting, human resources and other services",,743,37.37,17.51,103,205,0,0,1,3,29,79,28,46,0,0,0,0,5,10,40,5,0.12,10,0.04,0.37,5,17,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000878363,0,0,0,0,0,0.000152666
1,CONAGRA BRANDS INC,23217,10-K,7/21/2017,https://www.sec.gov/Archives/edgar/data/23217/000162828017007184/cag-5x28x2017x10kex10321.htm,,Y,Y,Y,1,"Lamb Weston, Inc.",License,,886,37.88,15.56,168,387,0,0,0,0,45,141,32,46,0,0,0,0,13,44,55,1,0.02,3,0.09,0.39,5,29,0,0,0,0,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000330107,0,0,0,0,9.24E-05
2,DIODES INC,29002,10-Q,8/8/2013,https://www.sec.gov/Archives/edgar/data/29002/000119312513327122/d579876dex102.htm,,Y,Y,,,LITE-ON TECHNOLOGY CORPORATION,Products,,1989,-26.65,35.13,265,367,0,0,1,2,168,216,16,27,2,9,0,0,8,24,74,7,0.09,9,0.06,0.43,13,115,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0.004298547,0,0.004648767,0.000478338,0.000803967,0,0.000994882,0.002592896
1,DIXIE GROUP INC,29332,8-K,10/22/2019,https://www.sec.gov/Archives/edgar/data/29332/000002933219000067/a102psafor3201susan.htm, ,Y,Y,,,CENTERPOINT PROPERTIES TRUST,the Project,,13375,-39.61,41.94,1775,3166,11,20,31,47,362,880,626,750,19,25,9,26,133,302,623,39,0.06,136,0.05,0.41,109,552,0,0,0,0,0,53,117,0,0,0,0,0,0,0,0,0,0,0.009239371,0.00245113,0.004325434,0.007169153,0.016043484,0.006677325,0.002659827,0.009914281
1,EL PASO ELECTRIC CO,31978,10-Q,11/9/2004,https://www.sec.gov/Archives/edgar/data/31978/000119312504191140/dex1002.htm , ,Y,Y,,,,Electricity,,296,31.72,13.81,22,46,1,2,0,0,12,30,0,0,0,0,0,0,4,4,20,2,0.1,4,0.14,0.43,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,EL PASO ELECTRIC CO,31978,10-Q,5/6/2005,https://www.sec.gov/Archives/edgar/data/31978/000119312505099245/dex1003.htm , ,Y,Y,,,,Electricity,,8,-57.12,16,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,EL PASO ELECTRIC CO,31978,10-Q,5/10/2007,https://www.sec.gov/Archives/edgar/data/31978/000119312507109598/dex1004.htm , ,Y,Y,,,Imperial Irrigation District,Firm capacity and system contingent capacity,,8,2.11,16,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,EL PASO ELECTRIC CO,31978,10-Q,11/6/2008,https://www.sec.gov/Archives/edgar/data/31978/000119312508226233/dex1006.htm ,,Y,Y,Y,1,Imperial Irrigation District,Firm capacity and system contingent capacity,,8,-6.36,16,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,EL PASO ELECTRIC CO,31978,10-Q,5/6/2009,https://www.sec.gov/Archives/edgar/data/31978/000119312509101641/dex1003.htm ,,Y,Y,Y,2,Imperial Irrigation District,Firm capacity and system contingent capacity,,8,-23.28,12,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000878363,0,0,0,0,0,0.000152666
1,EL PASO ELECTRIC CO,31978,10-Q,8/6/2009,https://www.sec.gov/Archives/edgar/data/31978/000119312509167228/dex1006.htm , ,Y,Y,Y,3,Imperial Irrigation District,Firm capacity and system contingent capacity,,8,-65.58,20,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,EL PASO ELECTRIC CO,31978,10-K,2/28/2011,https://www.sec.gov/Archives/edgar/data/31978/000119312511049952/dex104203.htm , ,Y,Y,,,"PHELPS DODGE ENERGY SERVICES, LLC",100 MW of energy,,8,-40.2,20,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,EL PASO ELECTRIC CO,31978,10-Q,8/8/2011,https://www.sec.gov/Archives/edgar/data/31978/000119312511212664/dex1004.htm ,,Y,Y,,,"PHELPS DODGE ENERGY SERVICES, LLC",100 MW of energy,,8,-31.74,24,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,EL PASO ELECTRIC CO,31978,10-K,2/27/2015,https://www.sec.gov/Archives/edgar/data/31978/000003197815000019/eeex_1042-052014123110k.htm ,,Y,Y,,,"PHELPS DODGE ENERGY SERVICES, LLC",125 MW of energy,,8,-23.28,12,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000878363,0,0,0,0,0,0.000152666
2,EL PASO ELECTRIC CO,31978,10-K,2/27/2015,https://www.sec.gov/Archives/edgar/data/31978/000003197815000019/eeex_1042-062014123110k.htm , ,Y,Y,,,"PHELPS DODGE ENERGY SERVICES, LLC",125 MW of energy,,8,-57.12,16,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000878363,0,0,0,0,0,0.000152666
1,EL PASO ELECTRIC CO,31978,10-Q,11/6/2015,https://www.sec.gov/Archives/edgar/data/31978/000003197815000051/eeex_100720150930q3.htm ,,Y,Y,,,"PHELPS DODGE ENERGY SERVICES, LLC",125 MW of energy,,8,-31.74,16,2,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000878363,0,0,0,0,0,0.000152666
1,EL PASO ELECTRIC CO,31978,10-K,2/24/2017,https://www.sec.gov/Archives/edgar/data/31978/000003197817000010/eeex_1028-082016123110k.htm , ,Y,Y,,,"PHELPS DODGE ENERGY SERVICES, LLC",125 MW of energy,,8,-82.5,12,2,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,EL PASO ELECTRIC CO,31978,10-K,2/28/2018,https://www.sec.gov/Archives/edgar/data/31978/000003197818000011/eeex_1010tucson-elpasopowe.htm , ,Y,Y,,, TUCSON ELECTRIC POWER COMPANY,Eletricity,,296,31.72,13.81,22,46,1,2,0,0,12,30,0,0,0,0,0,0,4,4,20,2,0.1,4,0.14,0.43,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,EL PASO ELECTRIC CO,31978,10-K,2/28/2019,https://www.sec.gov/Archives/edgar/data/31978/000003197819000008/eeex_1028-012018123110k.htm , ,Y,Y,,,"PHELPS DODGE ENERGY SERVICES, LLC",125 MW of energy,,8,-74.04,20,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,EMERSON RADIO CORP,32621,10-K,6/29/2004,https://www.sec.gov/Archives/edgar/data/32621/000095013404009454/d16432exv10w12w3.htm  ,,Y,Y,Y,3,"Funai Corporation, Inc.",license,,8,-40.2,20,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,EMERSON RADIO CORP,32621,10-Q,2/3/2005,https://www.sec.gov/Archives/edgar/data/32621/000112528205000435/b404397ex10124.txt , ,Y,Y,Y,4,"Funai Corporation, Inc.",license,,8,-57.12,20,2,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,EMERSON RADIO CORP,32621,10-K,6/29/2005,https://www.sec.gov/Archives/edgar/data/32621/000112528205003480/b407492ex10_12-5.txt ,,Y,Y,Y,1,"Funai Corporation, Inc.",license,,8,-40.2,20,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,EMERSON RADIO CORP,32621,8-K,12/29/2005,https://www.sec.gov/Archives/edgar/data/32621/000112528205006819/b410891ex10_1.txt , ,Y,Y,Y,7,"Funai Corporation, Inc.",license,,8,2.11,16,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,EMERSON RADIO CORP,32621,8-K,7/19/2006,https://www.sec.gov/Archives/edgar/data/32621/000112528206004152/b414079_ex10-1.txt , ,Y,Y,Y,8,"Funai Corporation, Inc.",license,,296,31.72,13.81,22,46,1,2,0,0,12,30,0,0,0,0,0,0,4,4,20,2,0.1,4,0.14,0.43,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000878363,0,0,0,0,0,0.000152666
1,ENNIS INC,33002,8-K,5/4/2016,https://www.sec.gov/Archives/edgar/data/33002/000119312516577976/d179968dex101.htm , ,Y,Y,,,Gildan Activewear Inc.,Units,,8,-48.66,20,2,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,HELMERICH & PAYNE,46765,8-K,9/13/2006,https://www.sec.gov/Archives/edgar/data/46765/000110465906060877/a06-19636_1ex10d1.htm ,,Y,Y,Y,2,"Walter H. Helmerich, III",Consulting Services,,8,-6.36,12,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,HELMERICH & PAYNE,46765,10-K,12/13/2006,https://www.sec.gov/Archives/edgar/data/46765/000104746906014971/a2175096zex-10_2.htm ,,Y,Y,Y,,"Walter H. Helmerich, III",Consulting Services,,8,-48.66,12,2,2,0,0,0,0,1,1,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000878363,0,0,0,0,0,0.000152666
1,HOLLYFRONTIER CORP,48039,10-Q,8/8/2013,https://www.sec.gov/Archives/edgar/data/48039/000004803913000054/hfcq2201310qexhibit104.htm , ,Y,Y,,,SINCLAIR TULSA REFINING COMPANY,gasoline,,8,-82.5,20,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,HOLLYFRONTIER CORP,48039,10-Q,8/8/2013,https://www.sec.gov/Archives/edgar/data/48039/000004803913000054/hfcq2201310qexhibit106.htm ,,Y,Y,Y,2,SINCLAIR TULSA REFINING COMPANY,gasoline,,8,-48.66,28,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000878363,0,0,0,0,0,0.000152666
3,HOLLYFRONTIER CORP,48039,10-Q,8/8/2013,https://www.sec.gov/Archives/edgar/data/48039/000004803913000054/hfcq2201310qexhibit107.htm , ,Y,Y,Y,3,SINCLAIR TULSA REFINING COMPANY,gasoline,,296,31.72,13.81,23,47,1,2,0,0,12,30,0,0,0,0,0,0,4,4,20,2,0.1,4,0.14,0.43,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,HOLLYFRONTIER CORP,48039,10-K,2/25/2015,https://www.sec.gov/Archives/edgar/data/48039/000004803915000014/exhibit1055.htm ,,Y,Y,Y,4,SINCLAIR TULSA REFINING COMPANY,gasoline,,296,31.72,13.81,22,46,1,2,0,0,12,30,0,0,0,0,0,0,4,4,20,2,0.1,4,0.14,0.43,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,HOLLYFRONTIER CORP,48039,10-K,2/25/2015,https://www.sec.gov/Archives/edgar/data/48039/000004803915000014/exhibit1056.htm , ,Y,Y,Y,5,SINCLAIR TULSA REFINING COMPANY,gasoline,,296,31.72,13.81,22,46,1,2,0,0,12,30,0,0,0,0,0,0,4,4,20,2,0.1,4,0.14,0.43,6,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,HOLLYFRONTIER CORP,48039,8-K,10/21/2015,https://www.sec.gov/Archives/edgar/data/48039/000119312515349451/d51001dex105.htm ,,Y,Y,,,the Partnership Group,services,,8,-14.82,12,2,3,0,0,0,0,1,2,1,1,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,PARK CITY GROUP INC,50471,8-K,8/11/2005,https://www.sec.gov/Archives/edgar/data/50471/000103883805000726/ex101form8k080505.txt,,Y,Y,,,Cannon Equipment Company,License to software,,613,26.44,14.75,55,90,0,0,1,1,27,53,6,9,1,1,1,2,0,0,39,8,0.21,8,0.05,0.39,3,27,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0.003683019,0.00340149,0.003822625,0.002307928,0.00177985,0,0.001855302,0.003602763
